XCG,ALPHA,MACH,Q,CN,CM,CA,CY,CLN,CLL,CL,CD,CLCD,XCP,CNA,CMA,CYB,CLNB,CLLB,CNQ,CMQ,CAQ,CNAD,CMAD,CYR,CLNR,CLLR,CYP,CLNP,CLLP
2.100,0.000,0.010,nan,0.000,0.000,0.999,0.323,-3.935,0.000,0.000,0.999,0.000,-12.177,52.198,-270.845,-52.187,270.710,0.000,686.810,-4944.885,0.000,210.799,-1185.965,659.850,-4616.594,0.000,-0.139,1.696,-38.228
2.100,0.000,0.510,nan,0.000,0.000,0.561,0.358,-4.367,0.000,0.000,0.561,0.000,-12.194,54.523,-285.117,-54.499,284.828,0.000,704.786,-5047.765,0.000,210.814,-1198.505,681.627,-4765.359,0.000,-0.602,7.339,-31.721
2.100,0.000,1.010,nan,0.000,0.000,0.929,0.576,-7.144,0.000,0.000,0.929,0.000,-12.412,66.346,-361.771,-66.310,361.324,0.000,1092.215,-9075.237,0.000,214.344,-1230.336,1070.974,-8811.605,0.000,-1.433,17.784,68.470
2.100,0.000,1.510,nan,0.000,0.000,0.866,0.284,-3.532,0.000,0.000,0.866,0.000,-12.444,53.910,-267.672,-53.897,267.519,0.000,783.533,-6296.287,0.000,224.347,-1348.038,777.892,-6226.086,0.000,-0.227,2.819,-60.184
2.100,0.000,2.010,nan,0.000,0.000,0.754,0.197,-2.457,0.000,0.000,0.754,0.000,-12.449,48.039,-230.864,-48.037,230.830,0.000,686.310,-5458.486,0.000,228.180,-1363.738,683.851,-5427.883,0.000,0.046,-0.578,-90.505
2.100,0.000,2.510,nan,0.000,0.000,0.630,0.147,-1.830,0.000,0.000,0.630,0.000,-12.450,41.638,-199.369,-41.636,199.345,0.000,575.958,-4497.494,0.000,230.370,-1372.710,575.298,-4489.274,0.000,0.025,-0.313,-105.008
2.100,0.000,3.010,nan,0.000,0.000,0.548,0.118,-1.467,0.000,0.000,0.548,0.000,-12.450,37.675,-177.239,-37.674,177.221,0.000,525.579,-4129.107,0.000,231.700,-1378.158,526.235,-4137.277,0.000,0.015,-0.191,-106.090
2.100,0.000,3.510,nan,0.000,0.000,0.475,0.099,-1.227,0.000,0.000,0.475,0.000,-12.450,27.979,-141.217,-27.976,141.189,0.000,424.510,-3707.687,0.000,232.454,-1381.249,426.246,-3729.299,0.000,0.000,-0.002,-82.502
2.100,0.000,4.010,nan,0.000,0.000,0.418,0.085,-1.056,0.000,0.000,0.418,0.000,-12.450,25.623,-126.011,-25.621,125.985,0.000,401.923,-3530.628,0.000,232.794,-1382.638,404.538,-3563.186,0.000,0.001,-0.009,-77.972
2.100,0.000,4.510,nan,0.000,0.000,0.370,0.075,-0.928,0.000,0.000,0.370,0.000,-12.450,27.569,-125.619,-27.568,125.609,0.000,418.725,-3494.478,0.000,232.826,-1382.770,422.001,-3535.265,0.000,0.003,-0.033,-89.210
2.100,0.000,5.010,nan,0.000,0.000,0.330,0.067,-0.828,0.000,0.000,0.330,0.000,-12.450,25.887,-116.184,-25.886,116.175,0.000,399.288,-3390.173,0.000,232.629,-1381.964,403.045,-3436.943,0.000,0.001,-0.008,-83.382
